# same DC
33000.0 0.0
38304.0 0.01
38416.0 0.02
38496.0 0.03
38560.0 0.04
38616.0 0.05
38656.0 0.06
38696.0 0.07
38736.0 0.08
38776.0 0.09
38808.0 0.1
38840.0 0.11
38872.0 0.12
38904.0 0.13
38928.0 0.14
38960.0 0.15
38992.0 0.16
39024.0 0.17
39056.0 0.18
39088.0 0.19
39120.0 0.2
39152.0 0.21
39184.0 0.22
39216.0 0.23
39256.0 0.24
39288.0 0.25
39328.0 0.26
39368.0 0.27
39408.0 0.28
39448.0 0.29
39488.0 0.3
39536.0 0.31
39584.0 0.32
39632.0 0.33
39688.0 0.34
39736.0 0.35
39784.0 0.36
39848.0 0.37
39912.0 0.38
39976.0 0.39
40032.0 0.4
40104.0 0.41
40176.0 0.42
40256.0 0.43
40328.0 0.44
40408.0 0.45
40488.0 0.46
40576.0 0.47
40672.0 0.48
40768.0 0.49
40872.0 0.5
40992.0 0.51
41112.0 0.52
41272.0 0.53
41448.0 0.54
41688.0 0.55
42048.0 0.56
42728.0 0.57
44944.0 0.58
49096.0 0.59
65328.0 0.6
85472.0 0.61
86136.0 0.62
86584.0 0.63
86968.0 0.64
87368.0 0.65
87816.0 0.66
88464.0 0.67
90176.0 0.68
93680.0 0.69
102520.0 0.7
111656.0 0.71
113888.0 0.72
116674.16000000015 0.73
117872.0 0.74
118392.0 0.75
118864.0 0.76
119352.0 0.77
119936.0 0.78
121456.0 0.79
130976.0 0.8
131832.0 0.81
132448.0 0.82
133088.0 0.83
133904.0 0.84
135728.0 0.85
138920.0 0.86
140520.0 0.87
143328.0 0.88
149632.0 0.89
160640.0 0.9
167752.0 0.91
186376.0 0.92
188704.0 0.93
191480.0 0.94
192912.0 0.95
193792.0 0.96
194616.0 0.97
195640.0 0.98
197976.0 0.99
574640.0 1.0


# another DC
38961112.0 0.0
39003104.77 0.01
39008851.1 0.02
39012634.33 0.03
39015871.56 0.04
39019049.2 0.05
39021972.72 0.06
39025260.93 0.07
39027666.68 0.08
39029849.1 0.09
39032083.9 0.1
39034119.45 0.11
39036126.4 0.12
39038031.88 0.13
39039695.44 0.14
39041079.8 0.15
39042609.6 0.16
39043988.81 0.17
39045564.74 0.18
39046598.43 0.19
39047632.2 0.2
39048858.74 0.21
39049869.12 0.22
39050811.02 0.23
39051609.8 0.24
39052473.75 0.25
39053478.36 0.26
39054372.73 0.27
39055273.76 0.28
39056120.36 0.29
39056972.1 0.3
39057867.28 0.31
39058799.16 0.32
39059818.67 0.33
39060777.3 0.34
39061913.8 0.35
39062996.84 0.36
39064107.41 0.37
39065200.24 0.38
39066247.0 0.39
39067135.4 0.4
39068210.67 0.41
39069218.34 0.42
39070524.67 0.43
39071852.4 0.44
39073085.65 0.45
39074160.08 0.46
39075404.73 0.47
39076507.52 0.48
39077595.1 0.49
39078792.0 0.5
39079940.21 0.51
39081207.48 0.52
39082177.57 0.53
39083054.92 0.54
39084109.1 0.55
39085172.52 0.56
39086182.15 0.57
39087205.08 0.58
39088128.12 0.59
39089184.0 0.6
39090007.56 0.61
39090861.22 0.62
39091584.48 0.63
39092442.36 0.64
39093180.45 0.65
39093973.34 0.66
39094837.32 0.67
39095666.12 0.68
39096466.55 0.69
39097467.8 0.7
39098315.74 0.71
39099233.44 0.72
39100195.54 0.73
39101053.04 0.74
39102122.0 0.75
39103141.4 0.76
39104520.3 0.77
39105865.54 0.78
39107356.2 0.79
39108687.6 0.8
39110349.94 0.81
39111892.9 0.82
39113888.51 0.83
39115715.32 0.84
39117652.7 0.85
39119613.74 0.86
39121521.16 0.87
39123368.36 0.88
39125659.42 0.89
39128327.4 0.9
39130881.03 0.91
39133482.56 0.92
39136349.51 0.93
39139947.18 0.94
39143767.1 0.95
39148729.6 0.96
39155611.38 0.97
39166309.64 0.98
39180955.79 0.99
39530674.0 1.0


# Internet
58014715.0 0.0
59203277.71 0.01
59341002.44 0.02
59402205.61 0.03
59437193.44 0.04
59456791.95 0.05
59485247.68 0.06
59527404.72 0.07
59569122.92 0.08
59591837.62 0.09
59605485.4 0.1
59618045.01 0.11
59628895.0 0.12
59642872.15 0.13
59661871.76 0.14
59685004.05 0.15
59720726.64 0.16
59748370.67 0.17
59768307.66 0.18
59782226.54 0.19
59790780.4 0.2
59798221.61 0.21
59805892.46 0.22
59813930.69 0.23
59822305.16 0.24
59834859.75 0.25
59846098.86 0.26
59858322.54 0.27
59873540.4 0.28
59890752.34 0.29
